Measurement number,HART-14,HART-15,HART-13,HART-12,HART-16,HART-17,HART-18,HART-19,JACK-11,JACK-22,JACK-24,JACK-25,JACK-31,JACK-33,JACK-34,JACK-35,Elson-23-1,Elson-23-2,Elson-23-3,Elson-26-4,Elson-24-4,Elson-26-2,Elson-23-5,Elson-24-2,Elson-24-3,Elson-24-5,Elson-26-1,Elson-26-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.7103496,,0.7102103,0.7154843,0.7103222,0.7074102,0.7092138,0.7092095,0.7092729,0.7040086,0.7087599,0.7092404,0.7082776,0.7092251,0.7102491,0.7085518,0.7091013,0.7099566,0.7106814,0.7096432,0.7090319,0.7093046,0.7085570,0.7090050,0.7088328,0.7086155,0.7094517,0.7086602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.7102858,,0.7095810,0.7118723,0.7104497,0.7075467,0.7085672,0.7084724,0.7085713,0.7115878,0.7088344,0.7091547,0.7135831,0.7089558,0.7108872,0.7090493,0.7086863,0.7096531,0.7082675,0.7089952,0.7096860,0.7091775,0.7089909,0.7094498,0.7098238,0.7096151,0.7093184,0.7087784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.7103923,,0.7095434,0.7166079,0.7098255,0.7114820,0.7091966,0.7092405,0.7095659,0.7073864,0.7089561,0.7089867,0.7097368,0.7092718,0.7070025,0.7086204,0.7090242,0.7092373,0.7115463,0.7091980,0.7088663,0.7092950,0.7091794,0.7093874,0.7086925,0.7087155,0.7086608,0.7089367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.7103845,,0.7103239,0.7139357,0.7098673,0.7087001,0.7087451,0.7084648,0.7095082,0.7091529,0.7090026,0.7091818,0.7085402,0.7092888,0.7088442,0.7094109,0.7089105,0.7089018,0.7086777,0.7085749,0.7084695,0.7095134,0.7091426,0.7089821,0.7085756,0.7088747,0.7095551,0.7081638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.7101315,,0.7103282,0.7148191,0.7091510,0.7114615,0.7091117,0.7077087,0.7082271,0.7065567,0.7091831,0.7092517,0.7108660,0.7090484,0.7100522,0.7092195,0.7095368,0.7096644,0.7198456,0.7082814,0.7095844,0.7084314,0.7088608,0.7091379,0.7089750,0.7092676,0.7087270,0.7086824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.7102378,,0.7100118,0.7167430,0.7092285,0.7113160,0.7073149,0.7092056,0.7092576,0.7059098,0.7091360,0.7099026,0.7052525,0.7090852,0.7083226,0.7086422,0.7089619,0.7093114,0.7059930,0.7093500,0.7088896,0.7089874,0.7094687,0.7085584,0.7098707,0.7091469,0.7096065,0.7093506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.7109030,,0.7106633,0.7147754,0.7094851,0.7113210,0.7089998,0.7097329,0.7088267,0.7132881,0.7085427,0.7090809,0.7135853,0.7087797,0.7126922,0.7081735,0.7086758,0.7097848,0.7186582,0.7091759,0.7092910,0.7096033,0.7092617,0.7088033,0.7087569,0.7082094,0.7095320,0.7091360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.7101841,0.7130140,0.7095267,0.7155219,0.7109592,0.7087958,0.7089433,0.7093204,0.7092919,0.7109664,0.7088965,0.7091840,0.7097191,0.7088179,0.7098862,0.7091269,0.7096562,0.7087502,0.7045002,0.7087431,0.7087833,0.7089208,0.7094941,0.7089254,0.7089074,0.7096281,0.7096113,0.7090521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.7100129,0.7121017,0.7100869,0.7136571,0.7090309,0.7085980,0.7087426,0.7095748,0.7084705,0.7139240,0.7095357,0.7089099,0.7122314,0.7092210,0.7108152,0.7090931,0.7100060,0.7088436,0.7078884,0.7099872,0.7085072,0.7096377,0.7086763,0.7097446,0.7093779,0.7089299,0.7088537,0.7089643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.7093714,0.7125941,0.7098944,0.7147120,0.7096586,0.7112031,0.7089563,0.7090400,0.7087666,0.7069977,0.7085560,0.7086390,0.7092715,0.7089725,0.7112323,0.7090115,0.7102430,0.7087316,0.7108122,0.7088755,0.7086699,0.7089513,0.7096552,0.7088851,0.7088855,0.7097169,0.7086911,0.7095942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.7104274,0.7121907,0.7099372,0.7144559,0.7104040,0.7106492,0.7096517,0.7091591,0.7090389,0.7100136,0.7092991,0.7096146,0.7098068,0.7091801,0.7092640,0.7093237,0.7093231,0.7088430,0.7407106,0.7089993,0.7087898,0.7094631,0.7092203,0.7089526,0.7094331,0.7095657,0.7089264,0.7089207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
